feature	chromosome	start	end	LGG150
7:45001-60000	7	45001	60000	0.56
7:60001-75000	7	60001	75000	-0.214
7:75001-90000	7	75001	90000	0.028
7:90001-105000	7	90001	105000	0.331
7:105001-120000	7	105001	120000	0.273
7:120001-135000	7	120001	135000	0.659
7:135001-150000	7	135001	150000	0.141
7:150001-165000	7	150001	165000	0.044
7:165001-180000	7	165001	180000	0.061
7:180001-195000	7	180001	195000	0.82
7:195001-210000	7	195001	210000	0.565
7:225001-240000	7	225001	240000	-0.808
7:270001-285000	7	270001	285000	-0.179
7:285001-300000	7	285001	300000	0.022
7:300001-315000	7	300001	315000	-0.122
7:315001-330000	7	315001	330000	0.14
7:330001-345000	7	330001	345000	-0.217
7:345001-360000	7	345001	360000	0.38
7:360001-375000	7	360001	375000	0.07
7:375001-390000	7	375001	390000	0.215
7:390001-405000	7	390001	405000	0.385
7:405001-420000	7	405001	420000	-0.412
7:420001-435000	7	420001	435000	-0.034
7:435001-450000	7	435001	450000	0.182
7:450001-465000	7	450001	465000	0.166
7:465001-480000	7	465001	480000	-0.153
7:480001-495000	7	480001	495000	0.676
7:495001-510000	7	495001	510000	0.288
7:510001-525000	7	510001	525000	0.164
7:525001-540000	7	525001	540000	0.102
7:540001-555000	7	540001	555000	0.29
7:570001-585000	7	570001	585000	-0.479
7:585001-600000	7	585001	600000	-0.62
7:600001-615000	7	600001	615000	-0.275
7:615001-630000	7	615001	630000	-0.109
7:630001-645000	7	630001	645000	0.072
7:645001-660000	7	645001	660000	-0.254
7:660001-675000	7	660001	675000	0.21
7:675001-690000	7	675001	690000	-0.146
7:690001-705000	7	690001	705000	-0.255
7:705001-720000	7	705001	720000	0.319
7:720001-735000	7	720001	735000	-0.331
7:735001-750000	7	735001	750000	0.032
7:750001-765000	7	750001	765000	0.173
7:765001-780000	7	765001	780000	0.348
7:780001-795000	7	780001	795000	-0.071
7:795001-810000	7	795001	810000	-0.423
7:810001-825000	7	810001	825000	-0.286
7:825001-840000	7	825001	840000	0.072
7:840001-855000	7	840001	855000	0.399
7:855001-870000	7	855001	870000	0.282
7:870001-885000	7	870001	885000	0.327
7:885001-900000	7	885001	900000	0.159
7:900001-915000	7	900001	915000	0.18
7:915001-930000	7	915001	930000	0.194
7:930001-945000	7	930001	945000	-0.233
7:945001-960000	7	945001	960000	-0.185
7:960001-975000	7	960001	975000	-0.652
7:975001-990000	7	975001	990000	-0.544
7:990001-1005000	7	990001	1005000	-0.322
7:1005001-1020000	7	1005001	1020000	0.272
7:1020001-1035000	7	1020001	1035000	0.037
7:1035001-1050000	7	1035001	1050000	0.371
7:1050001-1065000	7	1050001	1065000	0.056
7:1080001-1095000	7	1080001	1095000	0.134
7:1095001-1110000	7	1095001	1110000	0.015
7:1110001-1125000	7	1110001	1125000	-0.17
7:1125001-1140000	7	1125001	1140000	0.046
7:1140001-1155000	7	1140001	1155000	0.004
7:1155001-1170000	7	1155001	1170000	-0.02
7:1170001-1185000	7	1170001	1185000	0.297
7:1200001-1215000	7	1200001	1215000	-0.187
7:1215001-1230000	7	1215001	1230000	-0.132
7:1230001-1245000	7	1230001	1245000	0.193
7:1245001-1260000	7	1245001	1260000	0.243
7:1290001-1305000	7	1290001	1305000	-0.068
7:1305001-1320000	7	1305001	1320000	-0.158
7:1320001-1335000	7	1320001	1335000	-0.389
7:1335001-1350000	7	1335001	1350000	0.125
7:1350001-1365000	7	1350001	1365000	-0.122
7:1365001-1380000	7	1365001	1380000	-0.292
7:1380001-1395000	7	1380001	1395000	-0.428
7:1395001-1410000	7	1395001	1410000	-0.343
7:1410001-1425000	7	1410001	1425000	-0.077
7:1425001-1440000	7	1425001	1440000	0.062
7:1440001-1455000	7	1440001	1455000	-0.196
7:1455001-1470000	7	1455001	1470000	-0.301
7:1470001-1485000	7	1470001	1485000	-0.252
7:1485001-1500000	7	1485001	1500000	-0.422
7:1500001-1515000	7	1500001	1515000	-0.516
7:1515001-1530000	7	1515001	1530000	-0.49
7:1530001-1545000	7	1530001	1545000	-0.312
7:1560001-1575000	7	1560001	1575000	-0.241
7:1575001-1590000	7	1575001	1590000	0.462
7:1590001-1605000	7	1590001	1605000	-0.221
7:1605001-1620000	7	1605001	1620000	0.055
7:1620001-1635000	7	1620001	1635000	0.088
7:1635001-1650000	7	1635001	1650000	-0.497
7:1650001-1665000	7	1650001	1665000	0.003
7:1665001-1680000	7	1665001	1680000	-0.324
7:1680001-1695000	7	1680001	1695000	-0.653
7:1710001-1725000	7	1710001	1725000	-0.059
7:1725001-1740000	7	1725001	1740000	-0.297
7:1740001-1755000	7	1740001	1755000	0.033
7:1755001-1770000	7	1755001	1770000	0.23
7:1770001-1785000	7	1770001	1785000	0.207
7:1785001-1800000	7	1785001	1800000	-0.184
7:1800001-1815000	7	1800001	1815000	-0.083
7:1815001-1830000	7	1815001	1830000	-0.001
7:1830001-1845000	7	1830001	1845000	0.187
7:1845001-1860000	7	1845001	1860000	0.011
7:1875001-1890000	7	1875001	1890000	-0.537
7:1890001-1905000	7	1890001	1905000	0.267
7:1905001-1920000	7	1905001	1920000	-0.384
7:1920001-1935000	7	1920001	1935000	0.045
7:1935001-1950000	7	1935001	1950000	0.314
7:1950001-1965000	7	1950001	1965000	0.384
7:1965001-1980000	7	1965001	1980000	0.138
7:1980001-1995000	7	1980001	1995000	-0.405
7:1995001-2010000	7	1995001	2010000	-0.134
7:2010001-2025000	7	2010001	2025000	-0.232
7:2025001-2040000	7	2025001	2040000	-0.019
7:2040001-2055000	7	2040001	2055000	-0.009
7:2055001-2070000	7	2055001	2070000	0.608
7:2070001-2085000	7	2070001	2085000	0.134
7:2085001-2100000	7	2085001	2100000	-0.129
7:2100001-2115000	7	2100001	2115000	0.083
7:2115001-2130000	7	2115001	2130000	0.025
7:2130001-2145000	7	2130001	2145000	-0.327
7:2145001-2160000	7	2145001	2160000	0.098
7:2160001-2175000	7	2160001	2175000	0.078
7:2175001-2190000	7	2175001	2190000	0.03
7:2190001-2205000	7	2190001	2205000	-0.305
7:2205001-2220000	7	2205001	2220000	-0.075
7:2220001-2235000	7	2220001	2235000	0.338
7:2235001-2250000	7	2235001	2250000	-0.059
7:2250001-2265000	7	2250001	2265000	0.108
7:2265001-2280000	7	2265001	2280000	0.369
7:2280001-2295000	7	2280001	2295000	-0.367
7:2295001-2310000	7	2295001	2310000	0.02
7:2310001-2325000	7	2310001	2325000	0.243
7:2325001-2340000	7	2325001	2340000	0.324
7:2340001-2355000	7	2340001	2355000	0.056
7:2355001-2370000	7	2355001	2370000	0.603
7:2370001-2385000	7	2370001	2385000	0.05
7:2385001-2400000	7	2385001	2400000	0.213
7:2400001-2415000	7	2400001	2415000	0.414
7:2415001-2430000	7	2415001	2430000	0.041
7:2430001-2445000	7	2430001	2445000	-0.146
7:2445001-2460000	7	2445001	2460000	0.213
7:2460001-2475000	7	2460001	2475000	0.018
7:2475001-2490000	7	2475001	2490000	-0.542
7:2490001-2505000	7	2490001	2505000	0.19
7:2505001-2520000	7	2505001	2520000	0.238
7:2520001-2535000	7	2520001	2535000	-0.074
7:2535001-2550000	7	2535001	2550000	0.14
7:2550001-2565000	7	2550001	2565000	-0.71
7:2565001-2580000	7	2565001	2580000	-0.236
7:2580001-2595000	7	2580001	2595000	-0.081
7:2595001-2610000	7	2595001	2610000	0.282
7:2610001-2625000	7	2610001	2625000	0.052
7:2625001-2640000	7	2625001	2640000	-0.487
7:2640001-2655000	7	2640001	2655000	0.057
7:2655001-2670000	7	2655001	2670000	-0.186
7:2670001-2685000	7	2670001	2685000	0.316
7:2685001-2700000	7	2685001	2700000	0.022
7:2700001-2715000	7	2700001	2715000	0.251
7:2715001-2730000	7	2715001	2730000	-0.169
7:2730001-2745000	7	2730001	2745000	-0.134
7:2745001-2760000	7	2745001	2760000	0.204
7:2760001-2775000	7	2760001	2775000	0.37
7:2790001-2805000	7	2790001	2805000	-0.057
7:2805001-2820000	7	2805001	2820000	0.222
7:2820001-2835000	7	2820001	2835000	0.448
7:2835001-2850000	7	2835001	2850000	-0.12
7:2850001-2865000	7	2850001	2865000	0.23
7:2865001-2880000	7	2865001	2880000	-0.24
7:2880001-2895000	7	2880001	2895000	-0.043
7:2895001-2910000	7	2895001	2910000	0.464
7:2910001-2925000	7	2910001	2925000	-0.296
7:2925001-2940000	7	2925001	2940000	-0.153
7:2940001-2955000	7	2940001	2955000	0.046
7:2955001-2970000	7	2955001	2970000	0.121
7:2970001-2985000	7	2970001	2985000	-0.109
7:2985001-3000000	7	2985001	3000000	0.365
7:3000001-3015000	7	3000001	3015000	0.435
7:3030001-3045000	7	3030001	3045000	0.167
7:3045001-3060000	7	3045001	3060000	0.424
7:3060001-3075000	7	3060001	3075000	-0.129
7:3075001-3090000	7	3075001	3090000	0.067
7:3090001-3105000	7	3090001	3105000	0.307
7:3105001-3120000	7	3105001	3120000	0.648
7:3120001-3135000	7	3120001	3135000	-0.087
7:3135001-3150000	7	3135001	3150000	-0.3
7:3165001-3180000	7	3165001	3180000	0.427
7:3180001-3195000	7	3180001	3195000	-0.245
7:3195001-3210000	7	3195001	3210000	-0.069
7:3210001-3225000	7	3210001	3225000	-0.002
7:3225001-3240000	7	3225001	3240000	0.291
7:3240001-3255000	7	3240001	3255000	0.229
7:3255001-3270000	7	3255001	3270000	0.11
7:3270001-3285000	7	3270001	3285000	0.209
7:3285001-3300000	7	3285001	3300000	-0.052
7:3300001-3315000	7	3300001	3315000	-0.241
7:3315001-3330000	7	3315001	3330000	0.108
7:3330001-3345000	7	3330001	3345000	-0.219
7:3345001-3360000	7	3345001	3360000	0.31
7:3360001-3375000	7	3360001	3375000	-0.505
7:3375001-3390000	7	3375001	3390000	0.377
7:3390001-3405000	7	3390001	3405000	0.337
7:3405001-3420000	7	3405001	3420000	-0.035
7:3420001-3435000	7	3420001	3435000	-0.154
7:3435001-3450000	7	3435001	3450000	0.241
7:3450001-3465000	7	3450001	3465000	0.446
7:3465001-3480000	7	3465001	3480000	-0.058
7:3480001-3495000	7	3480001	3495000	-0.134
7:3495001-3510000	7	3495001	3510000	0.451
7:3510001-3525000	7	3510001	3525000	0.377
7:3525001-3540000	7	3525001	3540000	-0.196
7:3540001-3555000	7	3540001	3555000	0.086
7:3555001-3570000	7	3555001	3570000	0.275
7:3570001-3585000	7	3570001	3585000	0.382
7:3585001-3600000	7	3585001	3600000	-0.096
7:3600001-3615000	7	3600001	3615000	0.096
7:3615001-3630000	7	3615001	3630000	0.326
7:3630001-3645000	7	3630001	3645000	0.154
7:3645001-3660000	7	3645001	3660000	0.055
7:3660001-3675000	7	3660001	3675000	0.564
7:3675001-3690000	7	3675001	3690000	-0.23
7:3690001-3705000	7	3690001	3705000	0.263
7:3705001-3720000	7	3705001	3720000	0.166
7:3720001-3735000	7	3720001	3735000	0.072
7:3735001-3750000	7	3735001	3750000	0.072
7:3750001-3765000	7	3750001	3765000	0.095
7:3765001-3780000	7	3765001	3780000	-0.191
7:3780001-3795000	7	3780001	3795000	0.096
7:3795001-3810000	7	3795001	3810000	0.377
7:3810001-3825000	7	3810001	3825000	0.113
7:3825001-3840000	7	3825001	3840000	-0.194
7:3840001-3855000	7	3840001	3855000	0.185
7:3855001-3870000	7	3855001	3870000	-0.315
7:3870001-3885000	7	3870001	3885000	-0.049
7:3885001-3900000	7	3885001	3900000	-0.054
7:3900001-3915000	7	3900001	3915000	-0.021
7:3915001-3930000	7	3915001	3930000	-0.089
7:3930001-3945000	7	3930001	3945000	0.391
7:3945001-3960000	7	3945001	3960000	0.646
7:3960001-3975000	7	3960001	3975000	0.238
7:3975001-3990000	7	3975001	3990000	0.331
7:3990001-4005000	7	3990001	4005000	-0.084
7:4005001-4020000	7	4005001	4020000	-0.135
7:4020001-4035000	7	4020001	4035000	0.161
7:4035001-4050000	7	4035001	4050000	-0.292
7:4050001-4065000	7	4050001	4065000	-0.212
7:4065001-4080000	7	4065001	4080000	0.393
7:4080001-4095000	7	4080001	4095000	0.217
7:4095001-4110000	7	4095001	4110000	0.355
7:4110001-4125000	7	4110001	4125000	-0.164
7:4125001-4140000	7	4125001	4140000	0.018
7:4140001-4155000	7	4140001	4155000	-0.255
7:4155001-4170000	7	4155001	4170000	0.031
7:4170001-4185000	7	4170001	4185000	0.059
7:4185001-4200000	7	4185001	4200000	0.44
7:4200001-4215000	7	4200001	4215000	0.092
7:4215001-4230000	7	4215001	4230000	-0.333
7:4230001-4245000	7	4230001	4245000	-0.227
7:4245001-4260000	7	4245001	4260000	0.086
7:4260001-4275000	7	4260001	4275000	-0.399
7:4275001-4290000	7	4275001	4290000	-0.254
7:4290001-4305000	7	4290001	4305000	0.137
7:4305001-4320000	7	4305001	4320000	0.288
7:4320001-4335000	7	4320001	4335000	0.406
7:4335001-4350000	7	4335001	4350000	0.207
7:4350001-4365000	7	4350001	4365000	-0.195
7:4365001-4380000	7	4365001	4380000	-0.017
7:4380001-4395000	7	4380001	4395000	0.228
7:4395001-4410000	7	4395001	4410000	0.026
7:4410001-4425000	7	4410001	4425000	-0.155
7:4425001-4440000	7	4425001	4440000	0.269
